Timestamp,Transaction Hash,Latency (ms),Gas Used,Gas Cost,Success,Error,CPU Time (μs)
1761676820344,a1d584a98fd3ecfb49e406d68429b087dcea05260cad2f791ff4593e6faa510f,57,0,0,true,,0.922
1761676821476,6be6a0b04a5699e5341ea4e3d9f2d8611fe04ad9a20454028486e45988f39cc9,131,0,0,true,,0.167
1761676822576,8d2e9c56cb2040c9bd9c3ceed0efd5c54f3c43997ad3869fce42d8fc063aaf5f,100,0,0,true,,0.227
1761676823656,1a6c2ef6d11fa7ed683ba7a09f7e53165ded6e16742b18ba825183c87c109db1,80,0,0,true,,0.236
1761676824751,63e350528c95f4e182c32b57062c46ee4497c472d93775c2911888bc17b5d93d,95,0,0,true,,0.167
1761676825875,60398b5968bd21297872154306e005edd26173256fd5209cd84ef120f27ac841,124,0,0,true,,0.201
1761676826999,f2408cd753b333e55a26e1974e4692fc22837d0891ba6f5434663b14060fc00f,124,0,0,true,,0.171
1761676828110,ecf77cff6caece3f476b33fbd8b84648f06a341eec7199e32c6da91430dcc54e,110,0,0,true,,0.181
1761676829245,bd795f5e247584cb0369474bc178bf48f63cd46ab8c115afa856572d36421cc9,134,0,0,true,,0.241
1761676830305,c6640fdcd500ac0773841d7e2761a7c94e91fde89e3a467014878cfdd78ddd18,60,0,0,true,,0.158
